Outcode,Latitude,Longitude
GL20,52.00733,-2.110356
GL3,51.865,-2.177
GL4,51.83138,-2.176138
GL5,51.738,-2.219
GL50,51.905836,-2.083243
GL51,51.896452,-2.122402
GL52,51.916,-2.058
GL53,51.844064,-2.046612
GL54,51.880284,-1.875728
GL55,52.061,-1.768
GL56,51.988847,-1.716892
GL6,51.747285,-2.176683
GL7,51.729745,-1.855955
GL8,51.642,-2.171
GL9,51.557,-2.298
GU1,51.246095,-0.552293
GU10,51.187181,-0.789693
GU11,51.252938,-0.76128
GU12,51.259583,-0.727168
GU13,51.274,-0.837
GU14,51.297336,-0.768618
GU15,51.334201,-0.736823
GU16,51.304026,-0.728488
GU17,51.323348,-0.807609
GU18,51.347722,-0.668523
GU19,51.363294,-0.692352
GU2,51.245394,-0.596048
